[FRONTEND_JS_ERROR] la_time=2026-05-18 07:09:56 PM PDT | ip=73.11.225.245 | session_id=32c5244f068f36f851e7828c5fe40e88 | script=/log_frontend_error.php | file=https://fleeescape.com/birthday-party-escape-room-vr-party | line=776 | col=12 | stack=@https://fleeescape.com/birthday-party-escape-room-vr-party:776:12 | url=https://fleeescape.com/birthday-party-escape-room-vr-party | message=TypeError: null is not an object (evaluating 'toggleBtn.addEventListener')
[FRONTEND_JS_ERROR] la_time=2026-05-18 07:10:00 PM PDT | ip=73.11.225.245 | session_id=32c5244f068f36f851e7828c5fe40e88 | script=/log_frontend_error.php | file=Unknown File | line=0 | col=0 | stack=No stack trace available | url=https://fleeescape.com/birthday-party-escape-room-vr-party | message=Script error.
[FRONTEND_JS_ERROR] la_time=2026-05-18 07:12:45 PM PDT | ip=73.11.225.245 | session_id=32c5244f068f36f851e7828c5fe40e88 | script=/log_frontend_error.php | file=Promise Rejection | line=0 | col=0 | stack=@https://fleeescape.com/assets/js/booking-js-party.js:172:54 | url=https://fleeescape.com/birthday-party-escape-room-vr-party | message=null is not an object (evaluating 'document.querySelector(".add_on_section").innerHTML = html')
[FRONTEND_JS_ERROR] la_time=2026-05-18 07:13:25 PM PDT | ip=67.170.106.64 | session_id=ba27716a745e6c08cf55c25df03d11a2 | script=/log_frontend_error.php | file=https://fleeescape.com/assets/js/escape-room.js | line=26 | col=52 | stack=global code@https://fleeescape.com/assets/js/escape-room.js:26:52 | url=https://fleeescape.com/birthday-party-escape-room-vr-party | message=TypeError: null is not an object (evaluating 'document.querySelector(".Boo_Prison_Escape_select").addEventListener')
[FRONTEND_JS_ERROR] la_time=2026-05-18 07:13:25 PM PDT | ip=67.170.106.64 | session_id=ba27716a745e6c08cf55c25df03d11a2 | script=/log_frontend_error.php | file=https://fleeescape.com/assets/js/custom-swiper-1.js | line=25 | col=16 | stack=global code@https://fleeescape.com/assets/js/custom-swiper-1.js:25:16 | url=https://fleeescape.com/birthday-party-escape-room-vr-party | message=TypeError: null is not an object (evaluating 'swiperContainer.addEventListener')
[FRONTEND_JS_ERROR] la_time=2026-05-18 07:13:25 PM PDT | ip=67.170.106.64 | session_id=ba27716a745e6c08cf55c25df03d11a2 | script=/log_frontend_error.php | file=https://fleeescape.com/birthday-party-escape-room-vr-party | line=776 | col=12 | stack=@https://fleeescape.com/birthday-party-escape-room-vr-party:776:12 | url=https://fleeescape.com/birthday-party-escape-room-vr-party | message=TypeError: null is not an object (evaluating 'toggleBtn.addEventListener')
[FRONTEND_JS_ERROR] la_time=2026-05-18 07:13:28 PM PDT | ip=67.170.106.64 | session_id=ba27716a745e6c08cf55c25df03d11a2 | script=/log_frontend_error.php | file=Unknown File | line=0 | col=0 | stack=No stack trace available | url=https://fleeescape.com/birthday-party-escape-room-vr-party | message=Script error.
[FRONTEND_JS_ERROR] la_time=2026-05-18 07:13:43 PM PDT | ip=73.11.225.245 | session_id=32c5244f068f36f851e7828c5fe40e88 | script=/log_frontend_error.php | file=https://fleeescape.com/birthday-party-escape-room-vr-party | line=1271 | col=15 | stack=onclick@https://fleeescape.com/birthday-party-escape-room-vr-party:1271:15 | url=https://fleeescape.com/birthday-party-escape-room-vr-party | message=ReferenceError: Can't find variable: stopLocalVideo
[FRONTEND_JS_ERROR] la_time=2026-05-18 07:13:49 PM PDT | ip=73.11.225.245 | session_id=32c5244f068f36f851e7828c5fe40e88 | script=/log_frontend_error.php | file=https://fleeescape.com/birthday-party-escape-room-vr-party | line=776 | col=12 | stack=@https://fleeescape.com/birthday-party-escape-room-vr-party:776:12 | url=https://fleeescape.com/birthday-party-escape-room-vr-party | message=TypeError: null is not an object (evaluating 'toggleBtn.addEventListener')
[FRONTEND_JS_ERROR] la_time=2026-05-18 07:13:49 PM PDT | ip=73.11.225.245 | session_id=32c5244f068f36f851e7828c5fe40e88 | script=/log_frontend_error.php | file=https://fleeescape.com/assets/js/custom-swiper-1.js | line=25 | col=16 | stack=global code@https://fleeescape.com/assets/js/custom-swiper-1.js:25:16 | url=https://fleeescape.com/birthday-party-escape-room-vr-party | message=TypeError: null is not an object (evaluating 'swiperContainer.addEventListener')
[FRONTEND_JS_ERROR] la_time=2026-05-18 07:13:49 PM PDT | ip=73.11.225.245 | session_id=32c5244f068f36f851e7828c5fe40e88 | script=/log_frontend_error.php | file=https://fleeescape.com/assets/js/escape-room.js | line=26 | col=52 | stack=global code@https://fleeescape.com/assets/js/escape-room.js:26:52 | url=https://fleeescape.com/birthday-party-escape-room-vr-party | message=TypeError: null is not an object (evaluating 'document.querySelector(".Boo_Prison_Escape_select").addEventListener')
[FRONTEND_JS_ERROR] la_time=2026-05-18 07:13:53 PM PDT | ip=73.11.225.245 | session_id=32c5244f068f36f851e7828c5fe40e88 | script=/log_frontend_error.php | file=Unknown File | line=0 | col=0 | stack=No stack trace available | url=https://fleeescape.com/birthday-party-escape-room-vr-party | message=Script error.
[FRONTEND_JS_ERROR] la_time=2026-05-18 07:17:46 PM PDT | ip=208.117.81.233 | session_id=63bc7a7e2360e5d64c8787e1edf9131c | script=/log_frontend_error.php | file=https://fleeescape.com/assets/js/custom-swiper-1.js | line=25 | col=1 | stack=@https://fleeescape.com/assets/js/custom-swiper-1.js:25:1  | url=https://fleeescape.com/birthday-party-escape-room-vr-party?msclkid=37c33db0f24f19229cbf57bb36a73ff3&utm_source=bing&utm_medium=cpc&utm_campaign=FLEE%20%7C%20Search%20%7C%20General&utm_term=escape%20the%20rooms&utm_content=Escape%20Rooms | message=TypeError: swiperContainer is null
[FRONTEND_JS_ERROR] la_time=2026-05-18 07:17:46 PM PDT | ip=208.117.81.233 | session_id=63bc7a7e2360e5d64c8787e1edf9131c | script=/log_frontend_error.php | file=https://fleeescape.com/assets/js/escape-room.js | line=26 | col=10 | stack=@https://fleeescape.com/assets/js/escape-room.js:26:10  | url=https://fleeescape.com/birthday-party-escape-room-vr-party?msclkid=37c33db0f24f19229cbf57bb36a73ff3&utm_source=bing&utm_medium=cpc&utm_campaign=FLEE%20%7C%20Search%20%7C%20General&utm_term=escape%20the%20rooms&utm_content=Escape%20Rooms | message=TypeError: document.querySelector(...) is null
